 XYZ	date	basin	area	DL1	DL2	DL3	DL4	NA	P1	P2	P3	PE
26670Norvegienne3SS3(amontdusecteur).500menamontdusecteur5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26670Norvegienne3SS3(amontdusecteur).50menamontdusecteur5969784534524	06/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26682Norvegienne1Aval5972594533530	18/01/1973	Norvegienne	NA	3	2	8	NA	NA	NA	NA	NA	NA
26683NorvegienneNAamontdusecteurd'etude.1.5kmenamontsecteurd'etude(amontdusecteur2)5969784534524	19/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26683NorvegienneNAamontdusecteurd'etude.3kmenamontsecteurd'etude5969784534524	19/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26683NorvegienneNAamontdusecteurd'etude.6kmenamont5969784534524	19/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
26685Norvegienne2Amont5969784534524	21/01/1973	Norvegienne	NA	NA	NA	NA	NA	NA	8	7	NA	NA
26719DouteNAAval?5674824550377	24/02/1973	Doute	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
26721StuderNADeversoirLac15732044542116	26/02/1973	Studer	NA	NA	NA	NA	NA	NA	18	10	NA	NA
26733ChateauNARuisseauducoude5959944534131	10/03/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	6
26734ChateauNARuisseauducoude5959944534131	11/03/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	17
26735ChateauNARuisseauducoude5959944534131	12/03/1973	Chateau	NA	NA	NA	NA	NA	NA	NA	NA	NA	3
26739Norvegienne2Amont5969784534524	16/03/1973	Norvegienne	NA	NA	NA	NA	NA	NA	3	9	NA	NA
26740NorvegienneP2Pool25973134533662	17/03/1973	Norvegienne	93	NA	NA	NA	NA	NA	NA	NA	NA	3
26740NorvegienneP3Pool35973494533786	17/03/1973	Norvegienne	181	NA	NA	NA	NA	NA	NA	NA	NA	1
26740NorvegienneP4Pool45972624533865	17/03/1973	Norvegienne	86	NA	NA	NA	NA	NA	NA	NA	NA	2
26741Norvegienne2SS24Ruisseaurivegauche.avalpool85973524534429	18/03/1973	Norvegienne	750	NA	NA	NA	NA	NA	NA	NA	NA	6
26742NorvegienneNAAmontsecteurd'etude.aenviron1kmlimitesecteur25969784534524	19/03/1973	Norvegienne	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
